Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
648763,Bank account or service,(CD) Certificate of deposit,Deposits and withdrawals,,CA,95136,Web,1/1/2014,1/1/2014,Amex,Closed with explanation,Yes,No
648765,Bank account or service,Checking account,Deposits and withdrawals,,FL,34608,Web,1/1/2014,1/1/2014,Wells Fargo,Closed with explanation,Yes,Yes
651256,Bank account or service,Checking account,Using a debit or ATM card,,CA,92154,Web,1/1/2014,1/17/2014,JPMorgan Chase,Closed with explanation,Yes,Yes
651321,Bank account or service,Checking account,"Account opening, closing, or management",,CA,94040,Web,1/1/2014,1/1/2014,Bank of America,Closed with explanation,Yes,No
651328,Bank account or service,Checking account,"Account opening, closing, or management",,MD,21045,Web,1/1/2014,1/1/2014,RBS Citizens,Closed with explanation,Yes,No
651799,Bank account or service,Checking account,Using a debit or ATM card,,AZ,85022,Web,1/1/2014,1/1/2014,BOK Financial Corp,Closed with explanation,Yes,Yes
651941,Bank account or service,Checking account,"Account opening, closing, or management",,DC,20249,Phone,1/2/2014,1/27/2014,Bank of America,Closed with explanation,Yes,No
651943,Bank account or service,Checking account,Deposits and withdrawals,,,,Phone,1/2/2014,1/9/2014,Comerica,Closed with explanation,Yes,Yes
651952,Bank account or service,Checking account,Using a debit or ATM card,,AZ,85224,Web,1/2/2014,1/2/2014,TCF National Bank,Closed with monetary relief,Yes,No
651965,Bank account or service,Checking account,"Account opening, closing, or management",,TX,75044,Referral,1/2/2014,1/9/2014,Navy FCU,Closed,Yes,No
651980,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,TX,77279,Web,1/2/2014,1/2/2014,USAA Savings,Closed with monetary relief,Yes,No
651999,Bank account or service,Checking account,Deposits and withdrawals,,GA,30331,Phone,1/2/2014,1/3/2014,Capital One,Closed with explanation,Yes,No
652007,Bank account or service,Checking account,Deposits and withdrawals,,TX,78613,Referral,1/2/2014,1/9/2014,USAA Savings,Closed with explanation,Yes,No
652011,Bank account or service,Checking account,Deposits and withdrawals,,NJ,8052,Referral,1/2/2014,1/6/2014,PNC Bank,Closed,Yes,No
652015,Bank account or service,Savings account,"Account opening, closing, or management",,NJ,8889,Referral,1/2/2014,1/8/2014,Wells Fargo,Closed with explanation,Yes,No
652019,Bank account or service,Checking account,Deposits and withdrawals,,NJ,7420,Referral,1/2/2014,1/8/2014,Wells Fargo,Closed with explanation,Yes,No
652021,Bank account or service,Other bank product/service,"Account opening, closing, or management",,NJ,8901,Referral,1/2/2014,1/9/2014,Bank of America,Closed with explanation,Yes,No
652022,Bank account or service,Checking account,Deposits and withdrawals,,WA,98503,Referral,1/2/2014,1/10/2014,USAA Savings,Closed with non-monetary relief,Yes,No
652026,Bank account or service,Checking account,"Making/receiving payments, sending money",,MI,49548,Referral,1/2/2014,1/13/2014,Flagstar Bank,Closed with explanation,Yes,No
652028,Bank account or service,Checking account,Deposits and withdrawals,,MD,21122,Referral,1/2/2014,1/6/2014,BB&T Financial,Closed with explanation,Yes,No
652093,Bank account or service,Checking account,"Making/receiving payments, sending money",,IN,46410,Web,1/2/2014,1/2/2014,BMO Harris,Closed with explanation,Yes,No
652095,Bank account or service,Checking account,Deposits and withdrawals,,OR,97862,Referral,1/2/2014,1/9/2014,Washington Federal,Closed with explanation,Yes,No
652107,Bank account or service,Checking account,Problems caused by my funds being low,,NJ,8002,Referral,1/2/2014,1/9/2014,PNC Bank,Closed with monetary relief,Yes,No
652122,Bank account or service,Other bank product/service,"Account opening, closing, or management",,PA,19050,Postal mail,1/2/2014,1/9/2014,Capital One,Closed with explanation,Yes,No
652130,Bank account or service,Checking account,Using a debit or ATM card,,VA,23059,Web,1/2/2014,1/2/2014,Bank of America,Closed with explanation,Yes,No
652157,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,CA,90807,Web,1/1/2014,1/6/2014,Bank of America,Closed with explanation,Yes,No
652265,Bank account or service,(CD) Certificate of deposit,"Making/receiving payments, sending money",,,21394,Referral,1/2/2014,1/8/2014,Fifth Third Bank,Closed with monetary relief,Yes,No
652266,Bank account or service,Checking account,Deposits and withdrawals,,PA,15206,Web,1/2/2014,1/2/2014,PNC Bank,Closed with explanation,Yes,No
652299,Bank account or service,Checking account,Deposits and withdrawals,,FL,32308,Web,1/2/2014,1/2/2014,Bank of America,Closed with explanation,Yes,No
652312,Bank account or service,Checking account,Deposits and withdrawals,,NY,10005,Referral,1/2/2014,1/9/2014,U.S. Bancorp,Closed with explanation,Yes,No
652357,Bank account or service,Checking account,Deposits and withdrawals,,NY,11216,Phone,1/2/2014,1/8/2014,Bank of America,Closed with explanation,Yes,No
652390,Bank account or service,Checking account,Problems caused by my funds being low,,NY,10463,Web,1/2/2014,1/9/2014,TD Bank,Closed with monetary relief,Yes,No
652418,Bank account or service,Checking account,Using a debit or ATM card,,RI,2915,Phone,1/2/2014,1/9/2014,Santander Bank US,Closed,Yes,No
652420,Bank account or service,Other bank product/service,"Account opening, closing, or management",,LA,71270,Web,1/2/2014,1/14/2014,Bank of America,Closed,Yes,No
652440,Bank account or service,Checking account,Using a debit or ATM card,,GA,30087,Web,1/2/2014,1/2/2014,Bank of America,Closed with non-monetary relief,Yes,No
652450,Bank account or service,Savings account,Deposits and withdrawals,,MI,48154,Web,1/1/2014,1/2/2014,PNC Bank,Closed with non-monetary relief,Yes,No
652451,Bank account or service,Savings account,Deposits and withdrawals,,MI,48154,Web,1/1/2014,1/1/2014,U.S. Bancorp,Closed with explanation,Yes,No
652453,Bank account or service,Checking account,Using a debit or ATM card,,CA,92057,Web,1/2/2014,1/2/2014,Citibank,Closed with explanation,Yes,Yes
